Iteration,Basic-Block,gen[B],kill[B],in[B],out[B]
2,B6,"{D21, D22, D23, D24}","{D15, D17, D18, D19, D2, D20}","{D1, D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D3, D4, D5, D6, D7, D8, D9}","{D1, D10, D11, D12, D13, D14, D16, D21, D22, D23, D24, D3, D4, D5, D6, D7, D8, D9}"
2,B7,{D25},{},"{D1, D10, D11, D12, D13, D14, D16, D21, D22, D23, D24, D3, D4, D5, D6, D7, D8, D9}","{D1, D10, D11, D12, D13, D14, D16, D21, D22, D23, D24, D25, D3, D4, D5, D6, D7, D8, D9}"
2,EXIT,{},{},"{D1, D10, D11, D12, D13, D14, D16, D21, D22, D23, D24, D25, D3, D4, D5, D6, D7, D8, D9}","{D1, D10, D11, D12, D13, D14, D16, D21, D22, D23, D24, D25, D3, D4, D5, D6, D7, D8, D9}"
3,ENTRY,{},{},{},{}
3,B1,{D1},{},{},{D1}
3,B2,{D2},"{D15, D20, D24}",{D1},"{D1, D2}"
3,B3,"{D10, D11, D12, D13, D14, D15, D3, D4, D5, D6, D7, D8, D9}","{D2, D20, D24}","{D1, D10, D11, D12, D13, D14, D15, D2, D3, D4, D5, D6, D7, D8, D9}","{D1, D10, D11, D12, D13, D14, D15, D3, D4, D5, D6, D7, D8, D9}"
3,B4,{D16},{},"{D1, D10, D11, D12, D13, D14, D15, D3, D4, D5, D6, D7, D8, D9}","{D1, D10, D11, D12, D13, D14, D15, D16, D3, D4, D5, D6, D7, D8, D9}"
3,B5,"{D17, D18, D19, D20}","{D15, D2, D21, D22, D23, D24}","{D1, D10, D11, D12, D13, D14, D15, D16, D3, D4, D5, D6, D7, D8, D9}","{D1, D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D3, D4, D5, D6, D7, D8, D9}"
3,B6,"{D21, D22, D23, D24}","{D15, D17, D18, D19, D2, D20}","{D1, D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D3, D4, D5, D6, D7, D8, D9}","{D1, D10, D11, D12, D13, D14, D16, D21, D22, D23, D24, D3, D4, D5, D6, D7, D8, D9}"
3,B7,{D25},{},"{D1, D10, D11, D12, D13, D14, D16, D21, D22, D23, D24, D3, D4, D5, D6, D7, D8, D9}","{D1, D10, D11, D12, D13, D14, D16, D21, D22, D23, D24, D25, D3, D4, D5, D6, D7, D8, D9}"
3,EXIT,{},{},"{D1, D10, D11, D12, D13, D14, D16, D21, D22, D23, D24, D25, D3, D4, D5, D6, D7, D8, D9}","{D1, D10, D11, D12, D13, D14, D16, D21, D22, D23, D24, D25, D3, D4, D5, D6, D7, D8, D9}"
